author_id,author_name,author_page_url,birthplace,book_average_rating,book_fullurl,book_id,book_title,genre_1,genre_2,pages,year_publication,fiction_nonfiction,genre_number
204893,Cordelia Fine ,/author/show/204893.Cordelia_Fine,USA and Canada,4.17,https://www.goodreads.com/book/show/8031168-delusions-of-gender,8031168,"       Delusions of Gender: How Our Minds, Society, and Neurosexism Create Difference ",Feminism,Nonfiction,338,2005,Nonfiction,3
5388148,Janet Mock ,/author/show/5388148.Janet_Mock,Unknown,4.32,https://www.goodreads.com/book/show/18144031-redefining-realness,18144031,"       Redefining Realness: My Path to Womanhood, Identity, Love & So Much More ",Biography & Autobiography,Autobiography,263,2014,Nonfiction,2
3098115,Susannah Charleson ,/author/show/3098115.Susannah_Charleson,USA and Canada,4.17,https://www.goodreads.com/book/show/15814445-the-possibility-dogs,15814445,"       The Possibility Dogs: What a Handful of ""Unadoptables"" Taught Me About Service, Hope, and Healing ",Animals,Animals,260,2013,Nonfiction,1
69415,Melissa Fay Greene ,/author/show/69415.Melissa_Fay_Greene,USA and Canada,4.19,https://www.goodreads.com/book/show/26156408-the-underdogs,26156408,       The Underdogs ,Animals,Animals,352,2016,Nonfiction,1
13091,Jan Morris ,/author/show/13091.Jan_Morris,Europe,3.99,https://www.goodreads.com/book/show/61043.Trieste_and_The_Meaning_of_Nowhere,61043,       Trieste and The Meaning of Nowhere ,Travel,Nonfiction,208,2001,Nonfiction,9
2995242,Isabella L. Bird ,/author/show/2995242.Isabella_L_Bird,Europe,3.96,https://www.goodreads.com/book/show/852885.A_Lady_s_Life_in_the_Rocky_Mountains,852885,       A Lady's Life in the Rocky Mountains ,Travel,Travel,282,1879,Nonfiction,9
63670,Dervla Murphy ,/author/show/63670.Dervla_Murphy,Europe,4.05,https://www.goodreads.com/book/show/163921.Full_Tilt,163921,       Full Tilt: Ireland to India with a Bicycle ,Travel,Nonfiction,256,1965,Nonfiction,9
142353,Sara Wheeler ,/author/show/142353.Sara_Wheeler,Europe,3.85,https://www.goodreads.com/book/show/395112.Terra_Incognita,395112,       Terra Incognita: Travels in Antarctica ,Travel,Nonfiction,384,1996,Nonfiction,9
6433789,"Rosemary ""Mamie"" Adkins ",/author/show/6433789.Rosemary_Mamie_Adkins,USA and Canada,4.65,https://www.goodreads.com/book/show/15731812-extraordinary-dreams-of-an-ireland-traveler,15731812,       Extraordinary Dreams of an Ireland Traveler ,Travel,Travel,249,2011,Nonfiction,9
62875,Freya Stark ,/author/show/62875.Freya_Stark,Europe,3.85,https://www.goodreads.com/book/show/108629.The_Valleys_of_the_Assassins,108629,       The Valleys of the Assassins: and Other Persian Travels ,Travel,Nonfiction,320,1934,Nonfiction,9
13803,Dean King ,/author/show/13803.Dean_King,USA and Canada,4.04,https://www.goodreads.com/book/show/408147.Skeletons_on_the_Zahara,408147,       Skeletons on the Zahara: A True Story of Survival ,History,History,351,2004,Nonfiction,5
1899563,Eve Brown-Waite ,/author/show/1899563.Eve_Brown_Waite,USA and Canada,3.68,https://www.goodreads.com/book/show/4558426-first-comes-love-then-comes-malaria,4558426,"       First Comes Love, then Comes Malaria: How a Peace Corps Poster Boy Won My Heart and a Third World Adventure Changed My Life ",Travel,Nonfiction,320,2009,Nonfiction,9
17408604,Jennifer Bleakley ,/author/show/17408604.Jennifer_Bleakley,USA and Canada,4.61,https://www.goodreads.com/book/show/36840304-joey,36840304,       Joey: How a Blind Rescue Horse Helped Others Learn to See ,Animals,Animals,288,2018,Nonfiction,1
17560,Elizabeth George ,/author/show/17560.Elizabeth_George,USA and Canada,3.96,https://www.goodreads.com/book/show/20262901-a-young-woman-s-guide-to-discovering-her-bible,20262901,       A Young Woman's Guide to Discovering Her Bible ,Religion & Spirituality,Nonfiction,224,2014,Nonfiction,6
16386,Kate Williams ,/author/show/16386.Kate_Williams,Europe,3.87,https://www.goodreads.com/book/show/29123.England_s_Mistress,29123,       England's Mistress: The Infamous Life of Emma Hamilton ,History,Biography,480,2005,Nonfiction,5
37983,Caroline Moorehead ,/author/show/37983.Caroline_Moorehead,Europe,3.83,https://www.goodreads.com/book/show/11556268-a-train-in-winter,11556268,"       A Train in Winter: An Extraordinary Story of Women, Friendship, and Resistance in Occupied France ",History,History,374,2011,Nonfiction,5
12806,Hannah Arendt ,/author/show/12806.Hannah_Arendt,Europe,4.07,https://www.goodreads.com/book/show/261071.Letters_1925_1975,261071,"       Letters, 1925-1975 ",History,Nonfiction,335,1998,Nonfiction,5
657510,Jonathan Chamberlain ,/author/show/657510.Jonathan_Chamberlain,Unknown,3.93,https://www.goodreads.com/book/show/2847610-king-hui,2847610,       King Hui: The Man Who Owned All the Opium in Hong Kong ,Biography & Autobiography,Travel,348,2007,Nonfiction,2
156980,Julian of Norwich ,/author/show/156980.Julian_of_Norwich,Asia,3.98,https://www.goodreads.com/book/show/370774.Revelations_of_Divine_Love,370774,       Revelations of Divine Love ,Religion & Spirituality,Spirituality,240,1393,Nonfiction,6
248952,Thérèse de Lisieux ,/author/show/248952.Th_r_se_de_Lisieux,Europe,4.39,https://www.goodreads.com/book/show/754771.Story_of_a_Soul,754771,"       The Story of a Soul: The Autobiography of St. Thérèse of Lisieux With Additional Writings, Prayers, and Sayings of St. Thérèse (Illustrated) ",Biography & Autobiography,Religion,292,1898,Nonfiction,2
14417372,Elaine Pagels ,/author/show/14417372.Elaine_Pagels,Asia,3.9,https://www.goodreads.com/book/show/22470.The_Origin_of_Satan,22470,"       The Origin of Satan: How Christians Demonized Jews, Pagans and Heretics ",Religion & Spirituality,History,240,1995,Nonfiction,6
1374842,Fransje van Riel ,/author/show/1374842.Fransje_van_Riel,Europe,4.34,https://www.goodreads.com/book/show/16035405-my-life-with-leopards,16035405,       My Life with Leopards ,Biography & Autobiography,Nonfiction,230,2012,Nonfiction,2
117297,Wangari Maathai ,/author/show/117297.Wangari_Maathai,Africa,4.06,https://www.goodreads.com/book/show/201111.Unbowed,201111,       Unbowed: A Memoir ,Biography & Autobiography,Autobiography,314,2006,Nonfiction,2
7043934,Delia Owens ,/author/show/7043934.Delia_Owens,Unknown,4.23,https://www.goodreads.com/book/show/613929.The_Eye_of_the_Elephant,613929,       The Eye of the Elephant: An Epic Adventure in the African Wilderness ,Biography & Autobiography,Nonfiction,320,1992,Nonfiction,2
232218,Cynthia Moss ,/author/show/232218.Cynthia_Moss,USA and Canada,4.19,https://www.goodreads.com/book/show/409901.Elephant_Memories,409901,       Elephant Memories: Thirteen Years in the Life of an Elephant Family ,Animals,Animals,364,2000,Nonfiction,1
14670,Kuki Gallmann ,/author/show/14670.Kuki_Gallmann,Europe,3.91,https://www.goodreads.com/book/show/447434.I_Dreamed_of_Africa,447434,       I Dreamed of Africa ,Biography & Autobiography,Nonfiction,368,1991,Nonfiction,2
3488,Elspeth Huxley ,/author/show/3488.Elspeth_Huxley,Europe,4.12,https://www.goodreads.com/book/show/5137.The_Flame_Trees_of_Thika,5137,       The Flame Trees of Thika: Memories of an African Childhood ,Biography & Autobiography,Autobiography,281,1959,Nonfiction,2
132260,Ekaterina Gordeeva ,/author/show/132260.Ekaterina_Gordeeva,Europe,4.03,https://www.goodreads.com/book/show/225981.My_Sergei,225981,       My Sergei: A Love Story ,Biography & Autobiography,Biography,340,1996,Nonfiction,2
7372540,G.R. Reader ,/author/show/7372540.G_R_Reader,Europe,4.28,https://www.goodreads.com/book/show/18749172-off-topic,18749172,       Off-Topic: The Story of an Internet Revolt ,Writing,Writing,211,2013,Nonfiction,10
3318712,Amy Lou Jenkins ,/author/show/3318712.Amy_Lou_Jenkins,USA and Canada,4.33,https://www.goodreads.com/book/show/40231428-corners,40231428,       Corners: Voices on Change ,Biography & Autobiography,Biography,187,2018,Nonfiction,2
14048112,Meg Myers Morgan ,/author/show/14048112.Meg_Myers_Morgan,Unknown,4.34,https://www.goodreads.com/book/show/39857260-everything-is-negotiable,39857260,"       Everything Is Negotiable: The 5 Tactics to Get What You Want in Life, Love, and Work ",Self Help,Self Help,320,2018,Nonfiction,8
