author_id,author_name,author_page_url,birthplace,book_average_rating,book_fullurl,book_id,book_title,genre_1,genre_2,pages,year_publication,fiction_nonfiction,period_publication,genre_number
5458477,Rachel  Morgan ,/author/show/5458477.Rachel_Morgan,Africa,3.96,https://www.goodreads.com/book/show/13422043-the-faerie-guardian-part-i,13422043,"       The Faerie Guardian, Part I ",Fantasy,Young Adult,55,2012,Fiction,21st century,6
2919562,Lori Brighton ,/author/show/2919562.Lori_Brighton,Unknown,3.61,https://www.goodreads.com/book/show/9292763-the-ghost-hunter,9292763,       The Ghost Hunter ,Fantasy,Romance,291,2010,Fiction,21st century,6
4784370,E.M. Jade ,/author/show/4784370.E_M_Jade,USA and Canada,3.9,https://www.goodreads.com/book/show/29858242-captivated,29858242,       Captivated ,Fantasy,Paranormal,375,2011,Fiction,21st century,6
6585995,Lilian Roberts ,/author/show/6585995.Lilian_Roberts,Unknown,3.71,https://www.goodreads.com/book/show/20742955-arielle-immortal-awakening,20742955,       Arielle: Immortal Awakening ,Romance,Fantasy,327,2012,Fiction,21st century,11
4178161,Tess Oliver ,/author/show/4178161.Tess_Oliver,Unknown,3.68,https://www.goodreads.com/book/show/8838886-camille,8838886,       Camille ,Young Adult,Fantasy,252,2010,Fiction,21st century,14
4527734,Sharde Richardson ,/author/show/4527734.Sharde_Richardson,USA and Canada,3.74,https://www.goodreads.com/book/show/11740889-watched,11740889,       Watched ,Fantasy,Fantasy,290,2011,Fiction,21st century,6
2299445,Devin O'Branagan ,/author/show/2299445.Devin_O_Branagan,Unknown,3.77,https://www.goodreads.com/book/show/9631964-witch-hunt,9631964,       Witch Hunt ,Fantasy,Fantasy,352,1990,Fiction,20th century or before,6
1187290,Bettie Sharpe ,/author/show/1187290.Bettie_Sharpe,Asia,3.62,https://www.goodreads.com/book/show/10780513-ember,10780513,       Ember ,Fantasy,Romance,94,2007,Fiction,21st century,6
1922565,Suzanne Woods Fisher ,/author/show/1922565.Suzanne_Woods_Fisher,USA and Canada,4.29,https://www.goodreads.com/book/show/18096354-the-calling,18096354,       The Calling ,Christian Fiction,Christian Fiction,320,2014,Fiction,21st century,2
4911650,Sandra Orchard ,/author/show/4911650.Sandra_Orchard,USA and Canada,4.14,https://www.goodreads.com/book/show/18637162-blind-trust,18637162,       Blind Trust ,Christian Fiction,Mystery,379,2014,Fiction,21st century,2
7789445,Patricia  Bradley ,/author/show/7789445.Patricia_Bradley,USA and Canada,4.05,https://www.goodreads.com/book/show/18059992-shadows-of-the-past,18059992,       Shadows of the Past ,Christian Fiction,Mystery,347,2014,Fiction,21st century,2
5015496,Krista McGee ,/author/show/5015496.Krista_McGee,USA and Canada,4.07,https://www.goodreads.com/book/show/18126905-luminary,18126905,       Luminary ,Science Fiction,Young Adult,320,2014,Fiction,21st century,12
1598929,Elizabeth Ludwig ,/author/show/1598929.Elizabeth_Ludwig,USA and Canada,4.12,https://www.goodreads.com/book/show/18059815-tide-and-tempest,18059815,       Tide and Tempest ,Historical,Christian Fiction,363,2014,Fiction,21st century,7
6565151,Julianna Deering ,/author/show/6565151.Julianna_Deering,Unknown,4.08,https://www.goodreads.com/book/show/18008076-death-by-the-book,18008076,       Death by the Book ,Mystery,Christian Fiction,317,2014,Fiction,21st century,10
6544571,J.B. McGee ,/author/show/6544571.J_B_McGee,USA and Canada,4.17,https://www.goodreads.com/book/show/18074023-skipping-stones,18074023,       Skipping Stones ,Romance,New Adult,294,2013,Fiction,21st century,11
2839406,Lisa J. Lickel ,/author/show/2839406.Lisa_J_Lickel,USA and Canada,4.18,https://www.goodreads.com/book/show/20525663-the-last-detail,20525663,       The Last Detail ,Romance,Christian,322,2014,Fiction,21st century,11
153441,Kathleen Y'Barbo ,/author/show/153441.Kathleen_Y_Barbo,USA and Canada,3.99,https://www.goodreads.com/book/show/18054664-sadie-s-secret,18054664,       Sadie's Secret ,Historical,Romance,352,2014,Fiction,21st century,7
