author_average_rating,author_gender,author_genres,author_id,author_name,author_page_url,author_rating_count,author_review_count,birthplace,book_average_rating,book_fullurl,book_id,book_title,genre_1,genre_2,num_ratings,num_reviews,pages,publish_date,score
3.89,female,"romance,",41762,Lisa Marie Rice ,/author/show/41762.Lisa_Marie_Rice,50956,4084,Unknown,3.73,https://www.goodreads.com/book/show/922118.Dangerous_Lover,922118,       Dangerous Lover ,Romance,Romance,3571,270,337,2007,2493
3.86,female,"romance,",1329767,Anita Philmar ,/author/show/1329767.Anita_Philmar,857,304,USA and Canada,3.91,https://www.goodreads.com/book/show/14288923-hotwired,14288923,       Hotwired ,Science Fiction Fantasy,Romance,22,4,167,April 5th 2012,3391
3.91,female,"romance,",1294984,Beth Kery ,/author/show/1294984.Beth_Kery,105356,5062,Unknown,3.87,https://www.goodreads.com/book/show/3011919-wicked-burn,3011919,       Wicked Burn ,Adult Fiction,Romance,6897,384,343,December 1st 2008,3771
4.73,female,"memoir,",14787070,Nancy Quinn ,/author/show/14787070.Nancy_Quinn,51,11,USA and Canada,4.69,https://www.goodreads.com/book/show/30820701-go-west-young-woman,30820701,"       Go West, Young Woman!: From Military Wife to Country Life ",Autobiography,Nonfiction,39,7,392,2016,1098
4.11,female,"nonfiction,",11882,Erma Bombeck ,/author/show/11882.Erma_Bombeck,38910,1634,USA and Canada,4.07,https://www.goodreads.com/book/show/432283.If_Life_Is_a_Bowl_of_Cherries_What_Am_I_Doing_in_the_Pits_,432283,       If Life Is a Bowl of Cherries What Am I Doing in the Pits? ,Humor,Nonfiction,11770,286,224,1971,1243
4.26,female,"memoir,",8176646,Polly Whittaker ,/author/show/8176646.Polly_Whittaker,88,21,Europe,4.26,https://www.goodreads.com/book/show/22006321-polly,22006321,       Polly: Sex Culture Revolutionary ,Biography,Autobiography,88,21,314,January 1st 2014,1499
3.82,female,"history,",183491,Amanda Foreman ,/author/show/183491.Amanda_Foreman,18321,1405,Europe,3.8,https://www.goodreads.com/book/show/319300.Georgiana,319300,       Georgiana: Duchess of Devonshire ,History,Biography,14979,1099,456,1998,1565
4.19,female,"biographies-memoirs,",527872,Jennifer Worth ,/author/show/527872.Jennifer_Worth,82536,8948,Europe,4.19,https://www.goodreads.com/book/show/6114607-the-midwife,6114607,"       The Midwife: A Memoir of Birth, Joy, and Hard Times ",Nonfiction,Autobiography,46457,5778,340,2002,1618
3.92,female,"poetry,biographies-memoirs,",8865,Mary Karr ,/author/show/8865.Mary_Karr,92012,6288,USA and Canada,3.93,https://www.goodreads.com/book/show/14241.The_Liars_Club,14241,       The Liars' Club ,Autobiography,Nonfiction,53365,2591,320,January 1st 1995,2791
3.92,female,"biographies-memoirs,",5272674,Jenny  Lawson ,/author/show/5272674.Jenny_Lawson,240525,28095,Unknown,3.9,https://www.goodreads.com/book/show/12868761-let-s-pretend-this-never-happened,12868761,       Let's Pretend This Never Happened: A Mostly True Memoir ,Nonfiction,Autobiography,143212,16832,318,2012,3701
3.91,female,"nonfiction,",13900,Alexandra Fuller ,/author/show/13900.Alexandra_Fuller,67734,6398,Europe,3.96,https://www.goodreads.com/book/show/24687.Don_t_Let_s_Go_to_the_Dogs_Tonight,24687,       Don't Let's Go to the Dogs Tonight: An African Childhood ,Autobiography,Nonfiction,44641,3164,315,2001,3790
4.17,female,"nonfiction,outdoors-nature,art,",132350,Joy Adamson ,/author/show/132350.Joy_Adamson,33570,362,Europe,4.17,https://www.goodreads.com/book/show/758153.Born_Free,758153,       Born Free: A Lioness of Two Worlds ,Nonfiction,Animals,30398,288,224,1960,4562
4.18,female,"non-fiction,",6984726,Allie Brosh ,/author/show/6984726.Allie_Brosh,150446,11245,Unknown,4.18,https://www.goodreads.com/book/show/17571564-hyperbole-and-a-half,17571564,"       Hyperbole and a Half: Unfortunate Situations, Flawed Coping Mechanisms, Mayhem, and Other Things That Happened ",Humor,Nonfiction,149630,11145,371,2013,4829
4.2,female,"romance,",322733,Tamera Alexander ,/author/show/322733.Tamera_Alexander,51114,5021,USA and Canada,4.1,https://www.goodreads.com/book/show/2310220.From_a_Distance,2310220,       From a Distance ,Christian Fiction,Historical,5979,377,381,January 1st 2008,1868
4.17,female,"southern-fiction,",3222582,Bette Lee Crosby ,/author/show/3222582.Bette_Lee_Crosby,12081,3242,Unknown,4.07,https://www.goodreads.com/book/show/35389476-spare-change,35389476,       Spare Change ,Mystery,Fiction,2620,558,272,September 1st 2011,2064
4.3,female,"contemporary,",8157754,Christine Ardigo ,/author/show/8157754.Christine_Ardigo,408,105,USA and Canada,4.5,https://www.goodreads.com/book/show/22909540-every-five-years,22909540,       Every Five Years ,Womens Fiction,Romance,108,22,300,August 12th 1900,1590
3.8,female,"gay-and-lesbian,",7105371,Leah Raeder ,/author/show/7105371.Leah_Raeder,25384,4643,Asia,3.8,https://www.goodreads.com/book/show/20877902-unteachable,20877902,       Unteachable ,Contemporary,Romance,20029,3252,268,2013,1156
4.18,female,"mystery-thrillers,history,",175196,W.A. Hoffman ,/author/show/175196.W_A_Hoffman,2244,238,Asia,4.07,https://www.goodreads.com/book/show/60814.Brethren,60814,       Brethren ,Romance,Historical,917,115,541,2006,1859
3.84,female,"science-fiction-fantasy,",11889,Ellen Kushner ,/author/show/11889.Ellen_Kushner,42948,4424,USA and Canada,3.78,https://www.goodreads.com/book/show/68485.Swordspoint,68485,       Swordspoint ,Fantasy,Fiction,8261,840,329,February 1987,3271
3.84,female,"literature-fiction,mystery-thrillers,",23511,Rita Mae Brown ,/author/show/23511.Rita_Mae_Brown,119765,7165,USA and Canada,3.9,https://www.goodreads.com/book/show/165395.Rubyfruit_Jungle,165395,       Rubyfruit Jungle ,Fiction,Lgbt,28502,1014,246,1973,3782
4.11,female,"historical-fiction,literature-fiction,",7732,Marguerite Yourcenar ,/author/show/7732.Marguerite_Yourcenar,27227,2089,Europe,4.25,https://www.goodreads.com/book/show/12172.Memoirs_of_Hadrian,12172,       Memoirs of Hadrian ,Historical,Fiction,14787,1166,347,1951,4723
4.23,female,"romance,",5763676,Jennifer Foor ,/author/show/5763676.Jennifer_Foor,96924,6684,USA and Canada,4.08,https://www.goodreads.com/book/show/15850119-letting-go,15850119,       Letting Go ,Romance,New Adult,13169,568,336,2012,1694
3.73,female,"science-fiction-fantasy,young-adult,",3119823,Kirsty Eagar ,/author/show/3119823.Kirsty_Eagar,6965,1059,Oceania,3.71,https://www.goodreads.com/book/show/6989576-raw-blue,6989576,       Raw Blue ,Young Adult,Contemporary,3528,377,274,June 28th 2009,2757
3.86,female,"literature-fiction,science-fiction-fantasy,",12991,Nina Kiriki Hoffman ,/author/show/12991.Nina_Kiriki_Hoffman,53068,3965,USA and Canada,4.04,https://www.goodreads.com/book/show/473870.The_Thread_That_Binds_the_Bones,473870,       The Thread That Binds the Bones ,Fantasy,Fiction,1046,87,311,by,483
3.44,female,"literature-fiction,short-stories,humor,",26417,Karen Russell ,/author/show/26417.Karen_Russell,84942,12860,USA and Canada,3.79,https://www.goodreads.com/book/show/47085.St_Lucy_s_Home_for_Girls_Raised_by_Wolves,47085,       St. Lucy's Home for Girls Raised by Wolves ,Short Stories,Fiction,9966,1546,246,June 6th 2005,494
3.82,female,"fiction,philosophy,",7287,Iris Murdoch ,/author/show/7287.Iris_Murdoch,60043,4502,Europe,3.88,https://www.goodreads.com/book/show/11230.The_Bell,11230,       The Bell ,Fiction,Classics,5284,421,296,1958,525
3.64,female,"literature-fiction,",598299,A.M. Homes ,/author/show/598299.A_M_Homes,46767,5779,USA and Canada,3.81,https://www.goodreads.com/book/show/29411.The_Safety_of_Objects,29411,       The Safety of Objects ,Short Stories,Fiction,3510,272,176,1990,553
3.94,female,"fiction,historical-fiction,",317,Sharyn McCrumb ,/author/show/317.Sharyn_McCrumb,79151,5338,USA and Canada,4.08,https://www.goodreads.com/book/show/178142.She_Walks_These_Hills,178142,       She Walks These Hills ,Mystery,Fiction,3745,234,448,1994,566
3.94,female,"fiction,plays,",3515,Ann-Marie MacDonald ,/author/show/3515.Ann_Marie_MacDonald,73878,4499,Europe,4.09,https://www.goodreads.com/book/show/7199.The_Way_the_Crow_Flies,7199,       The Way the Crow Flies ,Fiction,Historical,11819,1096,848,2003,665
3.88,female,"fiction,nonfiction,",179612,Carol Plum-Ucci ,/author/show/179612.Carol_Plum_Ucci,11774,1211,USA and Canada,4.04,https://www.goodreads.com/book/show/347639.What_Happened_to_Lani_Garver,347639,       What Happened to Lani Garver ,Young Adult,Fiction,3347,257,336,January 1st 2002,668
